date,equity,cash,position,close,ATR,DC_upper,DC_lower,DC_exit_lower,stock,code
2024-04-01,5551.36,5551.36,0,19.13,0.7363,21.32,18.25,18.25,ST人福,600079
2024-04-02,5551.36,5551.36,0,18.32,0.7445,20.92,18.25,18.25,ST人福,600079
2024-04-03,5551.36,5551.36,0,18.61,0.7418,20.52,18.25,18.25,ST人福,600079
2024-04-08,5551.36,5551.36,0,17.87,0.7477,20.13,18.18,18.18,ST人福,600079
2024-04-09,5551.36,5551.36,0,18.11,0.7363,20.13,17.75,17.75,ST人福,600079
2024-04-10,5551.36,5551.36,0,17.7,0.726,20.13,17.63,17.63,ST人福,600079
2024-04-11,5551.36,5551.36,0,17.4,0.7107,20.13,17.62,17.62,ST人福,600079
2024-04-12,5551.36,5551.36,0,17.51,0.6997,19.84,17.34,17.34,ST人福,600079
2024-04-15,5551.36,5551.36,0,18.03,0.6947,19.8,17.33,17.33,ST人福,600079
2024-04-16,5551.36,5551.36,0,18.37,0.7024,19.8,17.33,17.33,ST人福,600079
2024-04-17,5551.36,5551.36,0,18.89,0.7108,19.8,17.33,17.33,ST人福,600079
2024-04-18,5551.36,5551.36,0,18.88,0.7093,19.8,17.33,17.33,ST人福,600079
2024-04-19,5551.36,5551.36,0,18.68,0.7013,19.8,17.33,17.33,ST人福,600079
2024-04-22,5551.36,5551.36,0,19.0,0.7017,19.8,17.33,17.33,ST人福,600079
2024-04-23,5551.36,5551.36,0,19.44,0.7002,19.41,17.33,17.33,ST人福,600079
2024-04-24,5551.36,5551.36,0,19.42,0.6851,19.57,17.33,17.33,ST人福,600079
2024-04-25,5551.36,5551.36,0,19.82,0.6824,19.57,17.33,17.33,ST人福,600079
2024-04-26,5551.36,5551.36,0,20.44,0.6823,19.97,17.33,17.33,ST人福,600079
2024-04-29,5551.36,5551.36,0,20.26,0.6772,20.5,17.33,17.52,ST人福,600079
2024-04-30,5551.36,5551.36,0,19.32,0.7153,20.61,17.33,17.87,ST人福,600079
2024-05-06,5551.36,5551.36,0,19.51,0.711,20.61,17.33,18.05,ST人福,600079
2024-05-07,5551.36,5551.36,0,19.39,0.7065,20.61,17.33,18.4,ST人福,600079
2024-05-08,5551.36,5551.36,0,19.05,0.6962,20.61,17.33,18.4,ST人福,600079
2024-05-09,5551.36,5551.36,0,20.01,0.7214,20.61,17.33,18.55,ST人福,600079
2024-05-10,5551.36,5551.36,0,19.73,0.7098,20.61,17.33,18.82,ST人福,600079
2024-05-13,5551.36,5551.36,0,19.53,0.6928,20.61,17.33,18.82,ST人福,600079
2024-05-14,5551.36,5551.36,0,19.58,0.6812,20.61,17.33,18.82,ST人福,600079
2024-05-15,5551.36,5551.36,0,19.46,0.6636,20.61,17.33,18.82,ST人福,600079
2024-05-16,5551.36,5551.36,0,19.18,0.6504,20.61,17.52,18.82,ST人福,600079
2024-05-17,5551.36,5551.36,0,19.35,0.6369,20.61,17.87,18.82,ST人福,600079
2024-05-20,5551.36,5551.36,0,19.63,0.6366,20.61,18.05,18.89,ST人福,600079
2024-05-21,5551.36,5551.36,0,19.41,0.6267,20.61,18.4,18.89,ST人福,600079
2024-05-22,5551.36,5551.36,0,18.93,0.6309,20.61,18.4,18.91,ST人福,600079
2024-05-23,5551.36,5551.36,0,18.91,0.6198,20.61,18.55,18.75,ST人福,600079
2024-05-24,5551.36,5551.36,0,18.77,0.6044,20.61,18.75,18.75,ST人福,600079
2024-05-27,5551.36,5551.36,0,18.98,0.6116,20.61,18.72,18.72,ST人福,600079
2024-05-28,5551.36,5551.36,0,18.64,0.6036,20.61,18.27,18.27,ST人福,600079
2024-05-29,5551.36,5551.36,0,18.39,0.5974,20.61,18.27,18.27,ST人福,600079
2024-05-30,5551.36,5551.36,0,18.38,0.59,20.61,18.27,18.27,ST人福,600079
2024-05-31,5551.36,5551.36,0,18.37,0.5755,20.11,18.27,18.27,ST人福,600079
2024-06-03,5551.36,5551.36,0,18.25,0.5647,20.11,18.27,18.27,ST人福,600079
2024-06-04,5551.36,5551.36,0,18.55,0.556,20.11,18.1,18.1,ST人福,600079
2024-06-05,5551.36,5551.36,0,18.33,0.5437,20.11,18.1,18.1,ST人福,600079
2024-06-06,5551.36,5551.36,0,18.2,0.5315,20.11,18.1,18.1,ST人福,600079
2024-06-07,5551.36,5551.36,0,18.07,0.5374,20.04,18.1,18.1,ST人福,600079
2024-06-11,5551.36,5551.36,0,18.04,0.5346,19.79,17.75,17.75,ST人福,600079
2024-06-12,5551.36,5551.36,0,18.12,0.5298,19.78,17.75,17.75,ST人福,600079
