date,symbol,name,open,close,high,low,volume
2020-02-18,00719,新华制药H,4.37,4.28,4.37,4.27,912000.0
2020-02-19,00719,新华制药H,4.26,4.25,4.26,4.21,512000.0
2020-02-20,00719,新华制药H,4.21,4.16,4.22,4.14,1482000.0
2020-02-21,00719,新华制药H,4.21,4.1,4.21,4.07,1177200.0
2020-02-24,00719,新华制药H,4.14,4.17,4.23,4.04,753200.0
2020-02-25,00719,新华制药H,4.08,4.13,4.2,4.08,712000.0
2020-02-26,00719,新华制药H,4.13,4.15,4.17,4.11,842000.0
2020-02-27,00719,新华制药H,4.16,4.21,4.34,4.13,1604622.0
2020-02-28,00719,新华制药H,4.17,4.11,4.24,4.1,844000.0
2020-03-02,00719,新华制药H,4.11,4.17,4.2,4.11,312000.0
2020-03-03,00719,新华制药H,4.18,4.23,4.27,4.15,704000.0
2020-03-04,00719,新华制药H,4.22,4.18,4.25,4.17,274000.0
2020-03-05,00719,新华制药H,4.17,4.28,4.32,4.17,1010800.0
2020-03-06,00719,新华制药H,4.26,4.27,4.31,4.25,716000.0
2020-03-09,00719,新华制药H,4.2,4.24,4.38,4.18,2260800.0
2020-03-10,00719,新华制药H,4.25,4.19,4.25,4.08,1079000.0
2020-03-11,00719,新华制药H,4.2,4.2,4.24,4.18,332400.0
2020-03-12,00719,新华制药H,4.2,4.12,4.21,4.03,572000.0
2020-03-13,00719,新华制药H,4.0,3.93,4.0,3.85,2094000.0
2020-03-16,00719,新华制药H,4.02,3.92,4.17,3.9,2140000.0
2020-03-17,00719,新华制药H,3.86,3.84,3.97,3.77,1358000.0
2020-03-18,00719,新华制药H,3.89,3.69,4.06,3.64,1376000.0
2020-03-19,00719,新华制药H,3.88,3.69,3.95,3.56,1018000.0
2020-03-20,00719,新华制药H,3.63,3.88,3.93,3.63,1095800.0
2020-03-23,00719,新华制药H,3.89,3.8,3.94,3.78,1230800.0
2020-03-24,00719,新华制药H,3.82,3.74,3.83,3.68,1508000.0
2020-03-25,00719,新华制药H,3.88,3.96,3.99,3.85,2902600.0
2020-03-26,00719,新华制药H,4.08,4.3,4.32,3.96,5315800.0
2020-03-27,00719,新华制药H,4.37,4.27,4.53,4.2,4657000.0
2020-03-30,00719,新华制药H,4.44,4.3,4.44,4.27,2447800.0
2020-03-31,00719,新华制药H,4.3,4.34,4.41,4.17,1547000.0
2020-04-01,00719,新华制药H,4.38,4.17,4.39,4.12,1504000.0
2020-04-02,00719,新华制药H,4.15,4.09,4.18,4.07,587000.0
2020-04-03,00719,新华制药H,4.1,3.99,4.1,3.92,408000.0
2020-04-06,00719,新华制药H,3.97,4.05,4.05,3.85,224000.0
2020-04-07,00719,新华制药H,4.15,4.23,4.3,4.1,1284000.0
2020-04-08,00719,新华制药H,4.23,4.21,4.26,4.2,488200.0
2020-04-09,00719,新华制药H,4.28,4.34,4.37,4.26,732400.0
2020-04-14,00719,新华制药H,4.35,4.28,4.36,4.19,1455600.0
2020-04-15,00719,新华制药H,4.36,4.24,4.41,4.24,392400.0
2020-04-16,00719,新华制药H,4.24,4.25,4.25,4.2,226000.0
2020-04-17,00719,新华制药H,4.25,4.19,4.25,4.16,684000.0
2020-04-20,00719,新华制药H,4.19,4.3,4.35,4.19,754000.0
2020-04-21,00719,新华制药H,4.2,4.27,4.29,4.18,813400.0
2020-04-22,00719,新华制药H,4.27,4.22,4.27,4.13,1249000.0
2020-04-23,00719,新华制药H,4.24,4.17,4.32,4.15,1162600.0
2020-04-24,00719,新华制药H,4.17,4.12,4.19,4.1,510000.0
2020-04-27,00719,新华制药H,4.14,4.18,4.18,4.13,642000.0
2020-04-28,00719,新华制药H,4.06,4.11,4.18,4.06,160000.0
2020-04-29,00719,新华制药H,4.15,4.14,4.15,4.08,148000.0
2020-05-04,00719,新华制药H,4.13,4.0,4.13,3.96,364000.0
2020-05-05,00719,新华制药H,4.1,4.1,4.13,4.02,176000.0
2020-05-06,00719,新华制药H,4.07,4.08,4.17,3.97,3632000.0
2020-05-07,00719,新华制药H,4.1,4.09,4.1,4.03,564000.0
2020-05-08,00719,新华制药H,4.09,4.09,4.13,4.06,956000.0
2020-05-11,00719,新华制药H,4.1,4.1,4.13,4.1,1092200.0
2020-05-12,00719,新华制药H,4.12,4.08,4.15,4.01,1431200.0
2020-05-13,00719,新华制药H,4.09,4.07,4.11,4.03,1570000.0
2020-05-14,00719,新华制药H,4.06,4.04,4.09,4.01,852000.0
2020-05-15,00719,新华制药H,3.97,4.03,4.14,3.97,1508000.0
2020-05-18,00719,新华制药H,4.1,4.06,4.1,4.02,362000.0
2020-05-19,00719,新华制药H,4.09,4.08,4.09,4.04,826000.0
2020-05-20,00719,新华制药H,4.05,4.04,4.08,4.02,584000.0
2020-05-21,00719,新华制药H,4.04,4.03,4.05,3.98,758200.0
2020-05-22,00719,新华制药H,3.98,3.93,4.0,3.88,872000.0
2020-05-25,00719,新华制药H,3.9,3.91,3.96,3.9,374000.0
2020-05-26,00719,新华制药H,3.94,4.06,4.06,3.92,613400.0
2020-05-27,00719,新华制药H,4.0,4.1,4.13,3.91,1520000.0
2020-05-28,00719,新华制药H,3.96,3.95,4.04,3.92,506600.0
2020-05-29,00719,新华制药H,3.9,4.05,4.06,3.9,454000.0
2020-06-01,00719,新华制药H,4.06,4.06,4.12,4.02,650600.0
2020-06-02,00719,新华制药H,4.08,4.06,4.09,4.05,253000.0
2020-06-03,00719,新华制药H,4.1,4.04,4.13,4.0,534000.0
2020-06-04,00719,新华制药H,4.06,4.04,4.06,4.01,197400.0
2020-06-05,00719,新华制药H,4.04,4.07,4.07,4.01,232000.0
2020-06-08,00719,新华制药H,4.12,4.07,4.13,4.06,380000.0
2020-06-09,00719,新华制药H,4.1,4.17,4.19,4.07,1216400.0
2020-06-10,00719,新华制药H,4.17,4.15,4.19,4.14,334000.0
2020-06-11,00719,新华制药H,4.14,4.06,4.2,4.05,428000.0
2020-06-12,00719,新华制药H,3.97,4.04,4.11,3.97,400000.0
2020-06-15,00719,新华制药H,4.11,4.06,4.11,4.05,296000.0
2020-06-16,00719,新华制药H,3.93,4.12,4.14,3.93,341200.0
2020-06-17,00719,新华制药H,4.17,4.2,4.21,4.11,1270000.0
